metric,n,statistic,p_value,significant,reactive_mean,predictive_mean,difference,improvement_pct,scenario
latency_p95,5,2.0,0.1875,False,15336.576020000002,5916.012030000001,-9420.563990000002,61.425470572537876,high
latency_p99,5,0.0,0.0625,False,25855.160444,6227.499586,-19627.660858000003,75.91390082653629,high
latency_mean,5,3.0,0.3125,False,5888.897638111113,3929.9566935781368,-1958.9409445329766,33.26498548480993,high
error_rate,5,0.0,0.0625,False,28.670102796217208,0.2154929730309237,-28.454609823186285,99.24837042070406,high
availability,5,0.0,0.0625,False,71.32989720378279,99.78450702696907,28.454609823186274,-39.8915615171772,high
cpu_total_mean,5,0.0,0.0625,False,0.07257684006593743,0.052705585213584746,-0.01987125485235268,27.379608748878116,high
replicas_total_mean,5,2.0,0.1875,False,10.279904383761446,14.502439024390245,4.222534640628799,-41.075621747016314,high
latency_p95,5,3.0,0.3125,False,2826.598109999998,1100.4115,-1726.1866099999982,61.06940367267136,low
latency_p99,5,2.0,0.1875,False,17860.292621999994,2630.323282,-15229.969339999994,85.27278730719108,low
latency_mean,5,3.0,0.3125,False,829.5143226806949,368.095516907364,-461.4188057733309,55.62517646255819,low
error_rate,5,3.0,0.625,False,0.31881359593103864,0.2775288004645928,-0.04128479546644587,12.949509052736893,low
availability,5,3.0,0.625,False,99.68118640406897,99.72247119953542,0.041284795466452806,-0.04141683797692798,low
cpu_total_mean,5,6.0,0.8125,False,0.06199235482360445,0.05227862016844912,-0.009713734655155327,15.669246123647312,low
replicas_total_mean,5,0.0,0.0625,False,5.8585365853658535,8.37560975609756,2.517073170731707,-42.964196502914234,low
latency_p95,5,2.0,0.1875,False,27494.65147,4015.774229999997,-23478.877240000005,85.39434393492242,medium
latency_p99,5,4.0,0.4375,False,34363.124546,13864.387281999996,-20498.737264000003,59.6532985135257,medium
latency_mean,5,2.0,0.1875,False,8783.807611518645,2298.7454224942753,-6485.062189024369,73.82973848972037,medium
error_rate,5,0.0,0.0625,False,4.055919023978129,0.270839621174076,-3.785079402804053,93.32236123125477,medium
availability,5,0.0,0.0625,False,95.94408097602187,99.72916037882592,3.785079402804058,-3.9450890188317267,medium
cpu_total_mean,5,1.0,0.125,False,0.13704059299207957,0.06684547528225589,-0.07019511770982369,51.222135118665676,medium
replicas_total_mean,5,2.0,0.1875,False,12.405986696230599,10.126829268292683,-2.279157427937916,18.37143214598488,medium
latency_p95,15,18.0,0.01507568359375,True,15219.275200000002,3677.3992533333326,-11541.875946666669,75.83722480205014,all
latency_p99,15,15.0,0.00836181640625,True,26026.19253733333,7574.070049999998,-18452.12248733333,70.89827857403515,all
latency_mean,15,29.0,0.083251953125,False,5167.406524103484,2198.932544326592,-2968.473979776892,57.44610891228275,all
error_rate,15,15.0,0.018566712279734193,True,11.014945138708791,0.2546204648898642,-10.760324673818927,97.68840914154828,all
availability,15,15.0,0.018566712279734193,True,88.9850548612912,99.74537953511016,10.760324673818957,-12.092283013807226,all
cpu_total_mean,15,19.0,0.01806640625,True,0.09053659596054049,0.057276560221429906,-0.033260035739110586,36.736565348234045,all
replicas_total_mean,15,38.0,0.22930908203125,False,9.514809221785965,11.001626016260161,1.486816794474196,-15.626343732356146,all
