strategy,scenario,repetition,latency_p50,latency_p95,latency_p99,latency_mean,latency_max,rps_observed,error_rate,availability,samples_k6,replicas_service-a_max,replicas_service-a_mean,replicas_service-b_max,replicas_service-b_mean,replicas_total_max,replicas_total_mean,cpu_total_mean,cpu_total_max,predicted_rps_mean
reactive,high,3,6797.648,13592.4218,20400.77344,7820.030573831505,22835.897,68.96333333333334,0.46401469379863697,99.53598530620137,20689,1.0,1.0,9.0,6.609756097560975,10.0,7.609756097560975,0.07520568599089165,0.1193837815200032,52.9966788840356
reactive,high,4,0.544,6693.211049999997,17392.17516,1543.4393175424982,44367.444,352.17333333333335,74.82489683110589,25.17510316889411,105652,10.0,8.81578947368421,4.0,1.9210526315789473,14.0,9.488372093023257,0.07469191179342519,0.1584094415893465,62.278507756039915
reactive,high,5,0.543,4377.502,8738.764200000001,1371.797707612828,32879.449,388.42333333333335,66.91238940331425,33.08761059668575,116527,10.0,9.24390243902439,10.0,5.341463414634147,20.0,14.585365853658537,0.06789065949517173,0.10329278201590911,82.7654936911843
reactive,low,1,106.602,154.3282,833.6891999999962,127.8378658134052,4043.906,49.483333333333334,0.0,100.0,14845,5.0,4.7560975609756095,2.0,1.4878048780487805,7.0,6.2439024390243905,0.03945205904931351,0.0626693323413941,46.10103696120297
reactive,low,2,118.104,3712.3009999999917,55142.46754999996,1280.3744942148762,60450.819,24.2,0.8126721763085398,99.18732782369146,7260,5.0,5.0,1.0,1.0,6.0,5.853658536585366,0.03386865355770349,0.09496519365742259,39.77172721055216
reactive,low,3,238.216,3530.42475,12939.341,974.9868174603175,15920.208,31.92,0.04177109440267335,99.95822890559732,9576,5.0,5.0,1.0,1.0,6.0,6.0,0.08059399337408986,0.1496711510897207,36.485168980043696
reactive,low,4,285.681,5428.487,17878.483,1487.740497329133,59013.624,24.336666666666666,0.7396247089439802,99.26037529105602,7301,5.0,4.461538461538462,1.0,1.0,6.0,5.195121951219512,0.10215424543680562,0.1973656135810224,22.601474298941586
reactive,low,5,116.08,1307.4496,2507.4823600000027,276.6319385857421,5807.951,46.24333333333333,0.0,100.0,13873,5.0,5.0,1.0,1.0,6.0,6.0,0.0538928227001099,0.09601545169166799,41.89189138981059
reactive,medium,1,1443.879,1827.892,2188.43,1463.619832688712,3274.872,130.13666666666666,0.42007120719243873,99.57992879280756,39041,10.0,6.536585365853658,10.0,4.414634146341464,20.0,10.951219512195122,0.05624616356854577,0.11699245812890119,82.22814180653432
reactive,medium,2,7605.944,60349.58119999999,61576.769440000004,21814.832654212194,64694.84,9.456666666666667,17.37751145576313,82.62248854423687,2837,10.0,9.428571428571429,10.0,9.142857142857142,20.0,15.116279069767442,0.13890848463693473,0.37702614376877686,28.302733985967215
reactive,medium,3,4346.943,43892.0504,57657.3572,9273.82181003584,60004.695,21.39,0.5454262116253701,99.45457378837463,6417,9.0,8.743589743589743,9.0,8.76923076923077,18.0,15.883720930232558,0.22146900604791006,0.47214134845644345,13.25267430382771
reactive,medium,4,5224.523,24685.227,29549.274849999998,8473.298051203052,43643.712,22.72,0.19072769953051644,99.80927230046949,6816,7.0,6.6,6.0,5.05,13.0,10.590909090909092,0.14314542100723585,0.2495928874051355,24.078188314309603
reactive,medium,5,1892.48,6718.506750000001,20843.79124,2893.4657094534273,60051.453,67.20666666666666,1.7458585457791886,98.25414145422081,20162,6.0,5.634146341463414,9.0,3.8536585365853657,14.0,9.487804878048781,0.1254338896997717,0.23696904551110648,42.74324120256749
